,Match_id,League_id,Season,Stage,Date,H_team,A_team,Result,H_Speed,H_Pass,H_Shoot,H_Pressure,H_chPass,H_chCross,H_dAggr,H_dWidth,A_Speed,A_Pass,A_Shoot,A_Pressure,A_chPass,A_chCross,A_dAggr,A_dWidth,H_age,A_age,H_TMV,A_TMV,FTHG,FTAG,HS,AS,HST,AST,H_Form03,A_Form03,H_Form05,A_Form05,H_MeanShots03,A_MeanShots03,H_MeanShots05,A_MeanShots05,H_MeanShotsOnTarget03,A_MeanShotsOnTarget03,H_MeanShotsOnTarget05,A_MeanShotsOnTarget05,H_MeanFullTimeGoals03,A_MeanFullTimeGoals03,H_MeanFullTimeGoals05,A_MeanFullTimeGoals05,H_WeightedMeanShots03,A_WeightedMeanShots03,H_WeightedMeanShots05,A_WeightedMeanShots05,H_WeightedMeanShotsOnTarget03,A_WeightedMeanShotsOnTarget03,H_WeightedMeanShotsOnTarget05,A_WeightedMeanShotsOnTarget05,H_WeightedMeanFullTimeGoals03,A_WeightedMeanFullTimeGoals03,H_WeightedMeanFullTimeGoals05,A_WeightedMeanFullTimeGoals05,H_xgoals,A_xgoals
10,23908,21518,2014/2015,2,2014-08-29,Valencia CF,Malaga CF,0,30,35,55,51,38,56,38,59,45,36,50,64,69,69,58,42,23.1,25.6,137.0,62.0,3,0,14,17,4,4,6,1,10,5,22.5,20.0,18.0,17.0,9.0,7.5,6.0,6.5,4.0,2.5,2.75,2.75,21.1052631579,18.6315789474,17.0,15.7647058824,8.42105263158,7.0,5.82352941176,6.0,3.84210526316,2.26315789474,2.67647058824,2.38235294118,2.42,1.13
11,23910,21518,2014/2015,2,2014-08-29,Getafe CF,UD Almeria,0,35,40,52,49,58,42,45,47,46,65,40,37,57,54,53,45,25.1,24.1,48.0,25.0,1,0,12,11,3,4,3,6,7,6,19.5,18.0,14.75,12.0,7.0,7.0,5.25,4.25,1.0,3.0,1.5,1.75,18.5789473684,16.8421052632,14.1176470588,11.7352941176,6.94736842105,6.57894736842,5.23529411765,4.26470588235,1.05263157895,2.89473684211,1.32352941176,1.82352941176,1.34,1.31
12,23909,21518,2014/2015,2,2014-08-30,RCD Espanyol,Sevilla FC,2,50,44,40,37,52,60,40,45,65,65,38,38,53,57,49,55,24.6,24.7,55.0,122.0,1,2,4,13,2,6,3,7,3,8,15.0,15.5,14.25,14.75,5.5,5.0,4.0,3.75,2.0,2.0,1.0,1.0,14.2105263158,14.9473684211,12.9705882353,13.8235294118,5.05263157895,4.78947368421,3.79411764706,3.64705882353,1.78947368421,1.84210526316,1.0,1.02941176471,1.22,1.36
13,23911,21518,2014/2015,2,2014-08-30,Cordoba CF,RC Celta de Vigo,1,40,53,48,36,40,66,41,52,53,62,52,42,59,68,52,65,24.8,23.3,44.0,39.0,1,1,6,9,1,4,1,0,2,4,15.0,17.5,12.75,14.5,6.0,4.5,4.25,3.75,1.0,1.5,1.0,1.25,13.8947368421,17.1052631579,11.7647058824,14.0588235294,5.47368421053,4.31578947368,4.02941176471,3.52941176471,0.947368421053,1.31578947368,0.941176470588,1.11764705882,0.24,0.79
14,23913,21518,2014/2015,2,2014-08-30,Atletico Madrid,SD Eibar,0,47,51,54,52,67,67,37,55,62,52,64,37,60,55,56,49,24.7,27.3,289.0,21.0,2,1,15,8,6,2,7,6,11,9,27.5,13.5,17.5,11.25,9.5,6.5,6.75,4.25,4.0,2.5,3.25,1.5,26.5263157895,13.0526315789,17.7352941176,10.7647058824,9.10526315789,6.26315789474,6.61764705882,4.26470588235,3.78947368421,2.36842105263,3.02941176471,1.5,1.37,0.87
15,23917,21518,2014/2015,2,2014-08-30,Athletic Bilbao,Levante UD,0,46,38,37,37,52,68,60,65,57,63,52,47,55,61,52,56,25.2,26.8,110.0,47.0,3,0,10,10,5,2,4,0,7,3,23.0,15.0,20.0,14.25,9.5,4.0,8.25,5.75,3.0,1.0,2.25,1.5,21.3157894737,13.9473684211,18.4411764706,13.0882352941,8.78947368421,3.89473684211,7.55882352941,5.11764705882,2.78947368421,1.0,2.11764705882,1.35294117647,2.36,0.33
16,23912,21518,2014/2015,2,2014-08-31,Real Sociedad,Real Madrid CF,0,35,36,59,48,60,52,53,65,50,41,69,39,68,54,49,65,24.6,23.3,107.0,647.0,4,2,13,19,5,5,6,3,9,6,19.5,29.5,15.25,25.0,4.0,11.5,4.5,9.0,1.5,2.5,2.0,1.75,18.0526315789,28.0526315789,14.2647058824,23.5882352941,3.89473684211,10.7368421053,4.05882352941,8.5,1.42105263158,2.42105263158,1.73529411765,1.73529411765,2.74,2.34
17,23914,21518,2014/2015,2,2014-08-31,RC Deportivo de La Coruna,Rayo Vallecano,1,56,46,68,45,38,52,50,59,45,44,47,63,44,44,51,59,25.5,25.7,48.0,52.0,2,2,10,12,5,2,6,3,12,7,19.5,18.0,17.5,14.5,6.0,5.5,6.25,5.5,2.0,1.0,2.0,1.5,18.3157894737,17.2105263158,16.2352941176,13.8823529412,5.52631578947,5.36842105263,5.64705882353,5.20588235294,1.94736842105,0.947368421053,1.88235294118,1.35294117647,1.90,2.24
18,23915,21518,2014/2015,2,2014-08-31,Elche CF,Granada CF,1,55,69,57,49,53,54,51,58,52,37,52,49,67,68,45,64,24.7,24.4,31.0,60.0,1,1,15,5,3,4,1,3,2,5,13.5,15.5,10.5,15.0,4.0,5.0,3.25,4.75,1.0,1.0,0.75,1.0,12.6315789474,14.6315789474,9.85294117647,13.7647058824,3.52631578947,4.84210526316,2.85294117647,4.38235294118,0.842105263158,0.842105263158,0.647058823529,0.823529411765,1.36,0.83
19,23916,21518,2014/2015,2,2014-08-31,Villarreal CF,FC Barcelona,2,35,35,58,51,43,57,51,56,35,32,35,61,37,31,63,65,23.1,24.4,88.0,598.0,0,1,9,20,0,8,5,6,8,10,17.5,34.0,14.75,26.0,7.0,13.0,5.75,9.75,2.5,4.0,1.75,3.0,16.3684210526,32.4210526316,13.7647058824,24.8823529412,6.47368421053,12.1578947368,5.32352941176,9.20588235294,2.31578947368,3.68421052632,1.64705882353,2.79411764706,1.11,3.43
