,Club,Age16,TMV16,Age15,TMV15,Age14,TMV14,Age13,TMV13,Age12,TMV12,Age11,TMV11,Age10,TMV10,Age09,TMV09,Age08,TMV08
15,Bournemouth,26.4,106.0,24.1,68.0,,,,,,,,,,,,,,
16,Sunderland,27.1,102.0,25.5,128.0,24.8,115.0,24.9,151.0,25.4,127.0,25.0,125.0,23.7,137.0,24.5,131.0,24.9,91.0
17,Middlesbrough,27.9,99.0,,,,,,,,,,,,,,,22.3,73.0
18,West Bromwich Albion,28.6,95.0,25.4,117.0,25.5,100.0,26.6,91.0,25.7,83.0,25.0,81.0,24.3,85.0,,,24.6,64.0
19,Burnley,28.2,85.0,,,25.5,36.0,,,,,,,,,25.0,38.0,,
20,Newcastle United,,,23.6,200.0,22.9,139.0,24.4,188.0,24.1,190.0,24.1,120.0,23.7,95.0,,,24.8,134.0
21,Aston Villa,,,23.5,112.0,24.3,127.0,24.0,116.0,24.1,101.0,25.3,157.0,25.1,207.0,25.5,160.0,25.4,111.0
22,Norwich City,,,25.6,103.0,,,26.2,95.0,25.3,70.0,24.5,22.0,,,,,,
23,Queens Park Rangers,,,,,25.1,115.0,,,28.1,150.0,27.0,106.0,,,,,,
24,Fulham,,,,,,,25.4,148.0,26.9,114.0,26.1,118.0,27.5,111.0,25.3,92.0,25.3,73.0
25,Cardiff City,,,,,,,24.6,92.0,,,,,,,,,,
26,Wigan Athletic,,,,,,,,,25.0,81.0,25.4,70.0,24.0,72.0,25.4,73.0,25.7,61.0
27,Reading,,,,,,,,,25.6,44.0,,,,,,,,
28,Bolton Wanderers,,,,,,,,,,,25.2,98.0,25.4,93.0,25.3,85.0,24.6,82.0
29,Blackburn Rovers,,,,,,,,,,,24.5,90.0,25.1,95.0,25.3,90.0,26.4,86.0
30,Wolverhampton Wanderers,,,,,,,,,,,24.1,82.0,23.7,76.0,24.1,59.0,,
31,Birmingham City,,,,,,,,,,,,,25.8,102.0,25.5,63.0,,
32,Blackpool,,,,,,,,,,,,,24.3,38.0,,,,
33,Portsmouth,,,,,,,,,,,,,,,25.4,99.0,26.8,131.0
